EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,LEADERS,SPONSOR,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,ASCENT1,ASCENT2,ASCENT3,ASCENT4,CLAIMED,DISPUTED,COUNTRIES,APPROACH,BCDATE,SMTDATE,SMTTIME,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,TERMNOTE,HIGHPOINT,TRAVERSE,SKI,PARAPENTE,CAMPS,ROPE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,NOHIRED,O2USED,O2NONE,O2CLIMB,O2DESCENT,O2SLEEP,O2MEDICAL,O2TAKEN,O2UNKWN,OTHERSMTS,CAMPSITES,ROUTEMEMO,ACCIDENTS,ACHIEVMENT,AGENCY,COMRTE,STDRTE,PRIMRTE,PRIMMEM,PRIMREF,PRIMID,CHKSUM,AGENCYID
ANN260101,ANN2,1960,1,1,NW Ridge-W Ridge,,,,UK,J. O. M. Roberts,,TRUE,FALSE,FALSE,FALSE,1st,,,,FALSE,FALSE,"India, Nepal",Marshyangdi->Hongde->Sabje Khola,15/03/1960,17/05/1960,1530,63,0,30/12/1899,1,,7937,FALSE,FALSE,FALSE,6,0,10,2,0,9,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Climbed Annapurna IV (ANN4-601-01),"BC(15/03,3350m),ABC(4575m),C1(5365m),C2(5800m),C3(26/04,6400m),C4(30/04,6900m),C5(15/05,7270m),C6(16/05,7200m),Smt(17/05)",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2442272,
ANN269301,ANN2,1969,3,1,NW Ridge-W Ridge,,,,Yugoslavia,Ales Kunaver,Mountaineering Club of Slovenia,TRUE,FALSE,FALSE,FALSE,2nd,,,,FALSE,FALSE,,Marshyangdi->Hongde->Sabje Khola,25/09/1969,22/10/1969,1800,27,31,26/10/1969,1,,7937,FALSE,FALSE,FALSE,6,0,10,2,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Climbed Annapurna IV (ANN4-693-02),"LowBC(25/09,3950m),BC(27/09,4650m),C1(27/09,5300m),C2(6000m),C3(6400m),C4,C5(7350m),C6(7250m),Smt(22/10)","Summited after sunset, returned to C6 at 2:30 am.


Jerin - 7 Nov 1969

Arrive KTM Thursday Draslar, Mlekuz and Jerin; rest tomorrow afternoom by charter. Draslar fingers OK, but one toe uncertain still.

Started for summit 9 am. 3 pm in afternoon still very low. At 6 pm last part and descended by moonlight very bright, but very cold. Days shorter than in spring (at 5 pm getting dark).

Were exhausted by time returned to camp, could not have come down alone.

Expedition reached Pokhara yesterday and Jerin and liaison officer to KTM Wednesday.


JOM Roberts - 3 Nov 1969

West Ridge of Annapurna II: waxy ridge, series of snow towers.
Up to summit of C4 for observation and radio contact.
Annapurna IV just a feature south of West Ridge of Annapurna II.
Security team = support team.
C6 probably where West Ridge steepens to summit of Annapurna II.

C5 = 24,000 ft 
C6 = 23,800 ft ? or above

Support team at Annapurna IV summited and returned down to C5 for night.

Bonington, Richard Grant and Sherpa Ang Nima except C5 to summit and down C3 (created while they were climbing) all in daylight.


Kunaver - 11 Sept 1969

Approach march will be wide sweep northeast from Pokhara and north of Annapurna massif to Marshyangdi River to east of Braga and the south to ridge leading to Annapurna IV and below summit of C4 along ridge to C2.

5 camps above base; summit attempt up to 20 Oct. Establish base 25 Sept. Need at least 3-1/2 weeks before final assault for acclimatization.

Liaison officer D. B. Rain (2 Indian Everest and 1 Japanese expeditions); from Home Ministry.

Botanical research as well as climbing, especially moss and other very primitive plants at high altitudes; Kazmir Draslar bird's parasite collect.

Base very near Czechs.

Members Kunaver, Sazonov, Stupnik and Malezic KTM to Pokhara 12 Sept; others 10th Sept except Jerin (9) who goes on 13 Sept.",Draslar frostbitten hands and feet,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2445816,
ANN273101,ANN2,1973,1,1,W Ridge-N Face,,,,Japan,Yukio Shimamura,Sangaku Doshikai Annapurna II Expedition 1973,TRUE,FALSE,FALSE,FALSE,3rd,,,,FALSE,FALSE,,Marshyangdi->Pisang->Salatang Khola,16/03/1973,06/05/1973,2030,51,0,30/12/1899,1,,7937,FALSE,FALSE,FALSE,5,0,6,1,0,8,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(16/03,3300m),C1(21/03,4200m),C2(10/04,5000m),C3(14/04,6000m),C4(23/04,6750m),C5(04/05,7300m),Smt(06/05)","Summit team of 3 left from C6, 2 returned from 6900m, Kondo summited and bivouaced at 7330m on descent.  MM29:13

Sakashita - 23 May 1973

Others arrive KTM on 25th by bus.

Kondo, Ogawa and Sakashita tried to reach summit. Very late, so 2 members stayed in biv and only Kondo to summit about 8:30 pm.

7300m on West Ridge.

Left C5 6:00 am on 6 May, reached biv site at 12:00. Attack time very short, so Ogawa stayed there and other 2 went on. Leader on walkie-talkie at 5 pm told them to come back ""so I came back but Mr. Kondo cannot hear so went on"" (Sakashita and Kondo had separated because Sakashita had returned to biv for flag). Sakashita at 7650m at 5 pm and returned to biv. Kondo returned to biv site at 11:00 pm. Enough moonlight for Kondo to see to climb. Kondo had no flag with him. 

Only one summit attempt via West Ridge route as planned.

No accidents, illness, frostbite, or yeti.

Route now very difficult but very long; ridge snow until summit ridge of mixed snow and rock on which rope not necessary.

Shinamura and Takaku

2 members arrive 7 March. Leave 1st March maybe, go by truck to Pokhara.

1000m fixed rope; maybe West Ridge; now route from British but same as Shinshu University.

Shinshu University last camp too far from summit: if possible want make last camp at foot of summit at 7300m. 


Takaku - 18 Feb 1973

3 more members arrive 22nd including leader.
2 more arrive 8 March including Dr, meet at BC.
Leave 1st March by truck with equipment to Pokhara.

Basecamp south ex-Pisang route probably north onto ridge running east from Annapurna IV. Maybe same as Shinshu; not sure present route. If possible like to climb via North Ridge.

Caravan reaches base camp about 10 days.
8 Sherpas.
5 camps above base; C5 about 7500m. 
Summit about middle May.

No members climbed in Nepal before but have climbed in Europe in summer and winter.

Came last year spring on recce to look at southern approaches but concluded too dangerous because of avalanches.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2447157,
ANN278301,ANN2,1978,3,1,N Face-W Ridge,,,,UK,Richard J. Isherwood,British Annapurna II Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Marshyangdi->Pisang->Salatang Khola,08/09/1978,02/10/1978,,24,27,05/10/1978,4,Abandoned at 7000m (on A-IV) due to bad weather,7000,FALSE,FALSE,FALSE,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(08/09,5190m),xxx(02/10,7000m)","Alpine-style ascent. Originally planned N Face attempt, switched to NW Ridge after avalanching on route.


Collister - 15 Oct 78

No camps above base - just took 1 tent with us - reached 23,000 feet on 30 Sept and technically quite easy - would have reached summit (via original route of North Face to West Ridge and were just below Annapurna IV on the ridge) in 3 more days. But slab avalanching created by wind off Annapurna IV forced retreat.

No accidents or illness 
Left BC


Shailendra Raj Sharma, Tourism - 10 Oct 78

Abandoned after reaching 23,000 ft on 2 Oct because weather very bad - left BC 5 Oct for KTM - all well.


Isherwood - 28 Aug 78

British Annapurna II Expedition did not mention fact it's new route in early stories.

Route: North Face to a col and then to West Ridge - so more direct route to summit - possibly a route farther east which does not get on to West Ridge at all.

Leave 31 Aug, confirmed 30 Aug
No Sherpas, no oxygen
BC at 17,000 feet above Pisang on glacier that feeds Pisang.

Perhaps 1 fixed camp at 20,000-21,000 ft - acclimatise by carrying loads up to it for few days and from there carry light tent.

Arrive BC about 12 Sept (not to Pokhara) summit end Sept, 1st week Oct
public bus to Dumre on KTM-Pokhara road.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2449182,
ANN279301,ANN2,1979,3,1,N Face-W Ridge,NW Ridge of A-IV,,,UK,Paul Moores,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Pokhara->Marshyangdi->Pisang->Sabje Khola,30/12/1899,18/10/1979,,0,0,20/10/1979,4,Abandoned at 7160m due to high winds,7160,FALSE,FALSE,FALSE,0,0,3,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(3500m),ABC,Biv1,Biv2,Biv3,Biv4,Biv5,xxx(18/10,7160m)","Paul Moores - 23 Oct 79

Alan's illness never cleared up but all got onto plateau at about 21,000 feet which meant all technical difficulties over, but summit 5 miles away. Got onto West Ridge from valley where mountian school is decided against North Face when 3 massive avalanches came down when at ABC (dust of one hit camp), so went for repeat of Chris Bonington ridge route.

Snow every day, which meant tracks made to move loads high were filled in after night sleeping low.

Wind prevented summit attempt; got to 22,500 feet and then Alan couldn't go down above because no fixed rope.

Adrian and Moores tried to go to top on 18 Oct but so windy couldn't get beyond 23,500 that day and then quit.

No accidents or frostbite.

Burgesses still at Manang airstrip from which Moores flew today.


Alan Burgess with Moores - 30 Aug 79

Route from North; North Face to West Ridge of face itself too dangerous.
3 members only and no Sherpas above BC. Strictly alpine-style with no oxygen and no build-up.

Leave KTM 5 Sept by road to Dumre. 25 porters to BC via Marshyangdi to Pisang then south to BC at 16,000 feet at least. ABC at 18,000 feet if BC not above 16,000. Must acclimatize, will kill time getting fit looking at possible routes and walking around; then with break in weather, go for it and finish climb perhaps in 1 week.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2449609,
ANN280101,ANN2,1980,1,1,N Face-W Ridge,,,,Japan,Ikuo Tanabe,Japan-Kamiichi Hoskai Himalaya Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Marshyangdi->Pisang->Salatang Khola,25/03/1980,24/04/1980,,30,37,01/05/1980,6,Abandoned at 7000m due to fatal accident,7000,FALSE,FALSE,FALSE,4,0,6,0,1,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(25/03,3500m),C1(27/03,4200m),C2(01/04,5200m),C3(12/04,6300m),C4(24/04,7000m),xxx(26/04,7000m)","5 Annapurna II members - 11 May 80
C4 24 April at 7000m 
Accident 26 April
C1 - 4200m - 27 March
C2 - 5200m - 1 April
C3 - 6300m - 12 April

All surviviors arrive KTM yesterday.

C4 highest point reached by 5 members and 1 Sherpa (not Hirata, who not so well); they staged 25 April in C4.

Tanabe and Nozaki met in good condition 26 April and descended with Nishikawa that day; going to C3 and planned Doi, Inoue and 1 Sherpa next day to C5.

Tanabe fell at 6700m on 26 April during descent; was sick and slipped; was jumaring down fixed rope, but then at traverse slipped and fell 10m on 60 degree slope and injured. 

Nishikawa made biv for Tanabe, but now Nishikawa had bad headache. Tanabe died at 8:00 pm of exhaustion and exposure and perhaps altitude sickness.

27 April - Nishikawa thought Tanabe sleeping, but finds early am he dead and now decides Tanabe died evening before. Nishikawa goes up to C4, those in C4 then descend. All reached BC with body 30 April.

1 May - body cremated at BC; ash and bones placed under Cwm with stones saying Tanabe sleep here and date. Inoue takes some bone to family in Japan.

Route was North Face. C4 little below West Ridge; C4 would have been on Ridge.


Prachandra Shrestha, Tourism - 4 May 80
 
Leader Inkuo Tanabe, 36, Toyama prefecture, engineer

26 April accident after established 7000m C4; when returning for goods, leader fell and died at above same altitude as camp.

All others well; body to be carried to BC and cremated there. Expedition abandoned.
Message dated 1 May


Tanabe & Co. - 6 March 80

Japan-Kamiichi Hasokai Himalaya Expedition 1980
Leader Ikuo Tanabe

Route same as 1978 British and 1971 Japanese from north via Marshyangdi to Pisang, up Salatang Khola to BC at 3500m.

5 members now in KTM, 1 more member arrives 15 March. 

Leave KTM to Pokhara by truck 16; leave 17 March with 60 porters for 10 days march to BC.

North Face is snow; West Ridge is rock and very narrow; ridge most difficult part with snow and icefall section on faace between 5200 and 6300m (between C2 and C3).

2 Sherpas above BC including Ang Temba (Namche).
No oxygen at all.
Arrive BC 27 March, summit 25-28 April

BC - 3500m
C1 - 4400m
C2 - 5200m
C3 - 6300m
C4 - 6900m
C5 - 7300m on ridge",Tanabe (leader) killed by fall,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2449799,
ANN280102,ANN2,1980,1,1,SE Spur (to 6000m),S Face-W Ridge (to 7250m),,,Poland,Jerzy Michalski,Lodz Himalayan Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Madi Khola->Hogagoth,09/04/1980,08/05/1980,,29,0,30/12/1899,6,Abandoned at 7250m due to injuries by avalanche,7250,FALSE,FALSE,FALSE,4,0,7,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"BC(09/04,3200m),ABC(11/04,4020m),C1(14/04,4800m),C2(5500m),C3(6200m),C4(07/05,7000m),xxx(08/05,7250m)","Warm - 28 May 80
 
Reached col between Annapurna II and IV near C2; it is about 7000m where put C4.

Made one camp in direction of Southeast Spur, but those in this team Michalski and Pankiewicz decided that with equipment and difficulties and weather, this route not possible, too much danger of avalanche. Returned after 2 days after having been to 6000m on spur.

Next Kintopp, Laskowski and Michalski tried left across glacier and then up to make C3, on south side of West Ridge. This 1st attempt on West Ridge from South.

Pankiewicz and Grochowski made ascent to Col with some difficult ice; made C4 and next day they tried to go up the ridge but returned because snow, wind and cold; went only about 200m up Ridge and then to C2.

Kintopf and Laskowski tried to go to C4, but just about 100m from tent snow avalanche came and they fell about 400m down (about 700m distance). Both alive but Laskowski knee injured and Kintopf head cut and both mentally confused at first.

So it was clear not possible to try for summit because had to help Kintopf and Laskowski who had to be escorted down and route very dangerous; southern approach to Annapurna II very dangerous.

Another avalanche accident between BC and ABC when Laskowski also fell, this time fell 200-300m to glacier.

Above C1 some big technical difficulties in rocky barrier about 200m high and needed fixed rope.

No climbing with oxygen.


Michalski - 24 March 80

Lodz Himalayan Expedition.
Leave KTM 26 March by road to Pokhara
Hope baggage will meet them at Pokhara by truck 27 or 28 March.
Leave Pokhara about 1 April depending on big truck's arrival at Bhairava.
SE Spur = New route.
Looks very steep and very difficult; last 1000m looks like rock but don't know 
  what sort of rock it is; also have problem of access to spur so must recce to 
  find best approach.
5-6 days Pokhara to BC.
Last village Hogo south of Annapurna II (up Madi Khola).
BC at 4500-4800m but location not now known (depends on result of earlier recce).
3 or 4 camps above BC depending on difficulty.
2 Sherpas above BC including sirdar Lhakpa Dorje (1975 SW Face Everest).
Oxygen medical only.",Injuries by avalanche,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2449858,
ANN281302,ANN2,1981,3,1,NW Ridge-W Ridge,,,,Italy,Arturo Bergamaschi,Italian Expedition Annapurna II-IV (Italian Alpine Club),FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Dumre->Marshyangdi->Pisang->Salatang Khola,04/09/1981,23/09/1981,,19,0,30/12/1899,4,Abandoned at 6400m due to snowstorm,6400,FALSE,FALSE,FALSE,3,0,19,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Attempted Annapurna IV (ANN4-813-01),"BC(04/09,3850m),C1(08/09,5305m),C2(17/09,5825m),C3(23/09,6400m),xxx(6400m)","Abandoned attempt on A-II on 2 Oct, then turned attention to A-IV and abandoned attempt on 10 Oct.

72 hours snow BC, C1, C2 and C3 destroyed. Still C4 made after storm of late Sept. Reached 7300m and then strong wind made it impossible to continue. Eugenio Faggion and Rolando Menardi reached this point on 9 Oct, a day after C4 established at 6900m.

BC  4 Sept - 3850m 
C1  8 Sept - 5305m
C2 17 Sept - 5825m
C3 23 Sept - 6400m
C4  9 Oct  - 6900m

Route NW Ridge, not difficult technically. Expected to reach summit before 10 Oct but snow and wind defeated effort.

Abandoned 10 Oct at 7300m. 9 Oct C4 made by Eugenio Faggion, Rolando Menardi and Gianni Tamiozzo.

Some left BC rest, others are in BC today all well.

 
Bergamaschi - 22 Aug 81

Route will be same from northwest as British 1960 and 1978 perhaps, depending on state of ice. Want north wall to West Ridge and from Col on Ridge to summit.

Approach from Pisang to glacier lost A4 and A2.

BC at 4000m. 5 camps above BC with last camp on Col at 7400m; thence climb to summit.

Route not so easy because no success since 1973 and ice wall of West Ridge condition not known.

No Sherpas above BC.
Medical oxygen only.
Leave KTM for Dumre 25 Aug and arrive BC after 13 days about 6-8 Sept.
Summit 5-10 Oct, nearly 8000m.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2450407,
ANN281301,ANN2,1981,3,1,S Ridge/SE Face,,,,Japan,Nobuo Kuwahara,Osaka Annapurna II Expedition 1981 (Osaka Climbers Club),FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Madi Khola->Hogagoth,04/09/1981,11/10/1981,,37,43,17/10/1981,6,Abandoned at 7400m due to fatal accident,7400,FALSE,FALSE,FALSE,5,0,9,0,1,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"BC(04/09,2600m),Dep(08/09,3400m),ABC(11/09,4000m),C1(16/09,4700m),C2(20/09,5300m),C3(23/09,5900m),C4(30/09,6400m),C5(07/10,7090m),xxx(11/10,7400m)","Asada & Kuwahara - 23 Oct 81

BC       - 2600m - 4 Sept
Deposit  - 3400m - 8 Sept
ABC      - 4000m - 11 Sept
C1       - 4700m - 16 Sept
C2       - 5300m - 20 Sept
C3       - 5900m - 23 Sept
C4       - 6400m - 30 Sept
C5       - 7090m - 7 Oct

Storm in late Sept drops 2m snow at C3, 1m at C1 = 1 week between C3 and C4, one week between C4 and C5 for rest. One party of 3 members made route above C5 for 2 days and then tired and parties changed - 7350m reached. Next party arrived C5 10 Oct (Asada, Kondo and Ichikawa). Next day fixing rope making route to 7400m. Ichikawa last man, in very strong wind at noon after 4 hours climbing and little altitude rock, separated from main fixed rope, started slipping and fell at 12:30 500m bouncing 10 times - body all broken. Asada and Kondo went to where body stopped, saw he was dead and brought back ice axe, personal backpack (no watch or camera) and hair. Next day 3 members from C4 go up to C5 and 5 together carried body to crevasse near C5 at about 7000m and buried there. Then expedition finished: ""some members tired, some praying to God, so cannot continue"" - leader. Summit would have been reached 12 Oct if no accident. All very strong, weather fine if windy.

Route via South Ridge: ridge difficult so 100 meters to right of it on face. Route actually on South Face. C5 a little down and little right as marked on postcard before climb.


Sharma, Tourism - 16 Oct 81

Dead Kyoichi Ichikawa slipped from 24,278 feet/7400m for 500m. Body seen by 2 friends Tsuneo Kondo and Takayuki Asada on same day, 11 Oct. Fell at 12:30. Three men were climbing above C5 (7000m) to summit. Body seen at 6900m at 2:00 pm and was in steep snow and rock ridge so not possible to bring it down - not possible to reach it that day. On 12 Oct buried body at place where fell; buried by 2 friends. Watch, camera and hair were removed and are being taken to Japan.

Expedition abandoned and all leave BC 17 Oct.

11 Oct leader was in C3 (5800m) with other member and 3 others in C4 (6300m); very windy 11 Oct.


Kuwahara - 23 Aug 81

Route Southwest Ridge = virgin route. 
Approach via Siklis via Madi Khola to Hoga and then 3 hours climb to BC. 
1st BC 3200m
2nd BC 3600m
ABC    4020m
C1     4700m
C2     5400m
C3     6000m
C4     6587m
C5     7000m end of snowfield

1 or 2 bivouacs above C5.
South (SW) Ridge very steep. 3000m fixed rope required: 1000m to ABC, 500m between C1 and C2 and 1500m C5 to top.

9 members: 7 now here and more arrived after 4 days. 
Leave together 28 Aug by road to Pokhara.

5 days summit caravan to 1st BC and establish ABC 10 days after arrival 1st BC. Summit 1 month after ABC.
 
3 Sherpas will go above to C3, but not above C3 because very dangerous.
 
Oxygen medical only.",Icikawa killed by 500m fall at 7400m,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2450425,
ANN282301,ANN2,1982,3,1,S Face,,,,Japan,Kazuhiko Yamada,Shinshu University Academic Alpine Club Annapurna II Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Madi Khola->Hogagoth,14/09/1982,04/10/1982,,20,24,08/10/1982,4,Abandoned at 7350m due to bad weather,7350,FALSE,FALSE,FALSE,5,700,5,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"TempBC(06/09,2600m),BC(14/09,4000m),C1(20/09,4800m),C2(22/09,5200m),C3(26/09,5800m),C4(01/10,6500m),C5(03/10,7050m),xxx(04/10,7350m)","Sharma, Tourism - 24 Nov 82

Reached 5 Oct 7350m, abandoned same day because bad weather. Did not pitch C3 formally. All OK.


Mitsui - 30 Aug 82

1971 Spr Shinshu University tried Annapurna II. Now again on Annapurna II but different route.

Caravan: Pokhara->Siklis->BC.
Route = South Face, same as 1981 autumn.
4 arrived 26 Aug, leave Sept 1 by road to Pokhara. 
Temporary BC at 2600m and requires 800-1000m fixed rope.
Arrive BC and fully stock it. 
BC -> C1 5 days = 20 Sept
C1 -> C2 3 days 
C4 to summit very difficult, all steep rock climbing and unsound rock. 
Must fix 800m fixed rope for descent.
No Sherpas above BC.
Summit 5-10 Oct
No oxygen at all; may find some left by last Japanese team.

1st Sept Kathmandu to Pokhara
2nd-6th  Caravan march to temporary Base camp (2600m)
         (40 porters)
7th-14   Route making to BC (4000m)
         Japanese 4/sirdar/mailrunner/BC worker/
         7 local porters (15 kg/35 Rs/day)
         700 meters rope used
14 Sept  established BC (4000m)
19       Leader Yamada went up to BC
20       established C1 (4800m)
22       established C2 (5200m)
26       established C3 (5800m)
1st Oct  established C4 (6500m)
3nd      established C5 (7050m)
4th      carrying up climbing gears to 7250m Yoshida and Moroto
5th      Yokohama heavy high altitude sickness. We stopped climbing up
6th      all members went back to BC
7th      all members including Yamada went back to temporary BC
8th      back caravan march to Pokhara with 12 porters
11th     reached to Kathmandu",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2450829,
